model,term,beta_full,boot_mean,ci_low,ci_high,dir_consistency,ci_excludes_0,p_boot
SP volume diff | S1-S2,GA,94.33266617604787,91.15388822433484,-17.424991800666287,192.36852358015062,0.958,False,0.08400000000000007
SP volume diff | S1-S2,qa_mean,-981.6094977890293,-957.8012953194907,-2245.3719614550414,662.8050857910746,0.921,False,0.158
SP volume diff | S1-S2,stack_count,14.431332330571607,14.309745837756497,-84.79257118732905,88.6024346363535,0.662,False,0.6759999999999999
SP volume diff | S3-S4,GA,115.03072602227088,124.48845697741747,20.52637331469193,238.30183764293497,0.988,True,0.02400000000000002
SP volume diff | S3-S4,qa_mean,673.7385404922879,732.9069326541362,-934.8594197107366,2270.2149961810683,0.854,False,0.29200000000000004
SP volume diff | S3-S4,stack_count,40.63412327326012,39.76033839806658,-37.27337853513763,102.43503428696498,0.865,False,0.27
WM surface-area diff | S1-S2,GA,27.16379999872145,33.386657437406576,-30.79585708816993,142.2388701515796,0.775,False,0.44999999999999996
WM surface-area diff | S1-S2,qa_mean,-368.8110007838714,-411.88812640605846,-1932.4395598281292,634.7307772484623,0.752,False,0.496
WM surface-area diff | S1-S2,stack_count,-41.88416053114264,-45.962788787960555,-114.71577636326168,14.910572693425594,0.903,False,0.194
WM surface-area diff | S3-S4,GA,13.577421366672542,13.836537844563145,-12.276174276191663,34.106980892534175,0.906,False,0.18799999999999994
WM surface-area diff | S3-S4,qa_mean,-463.2043992411637,-467.64729715558826,-1044.6504204844796,-6.6609489722021165,0.977,True,0.046
WM surface-area diff | S3-S4,stack_count,-22.679916565353857,-22.876571117765742,-52.32857887240452,3.5427711504157475,0.94,False,0.12
WB SP thickness diff | S1-S2,GA,0.03286578369525753,0.03453364012442324,0.0009870622657466713,0.08402921792742947,0.98,True,0.040000000000000036
WB SP thickness diff | S1-S2,qa_mean,-0.16265941413919188,-0.21976612511111948,-1.5740712560537935,0.6869139975282987,0.63,False,0.74
WB SP thickness diff | S1-S2,stack_count,-0.006510650125010424,-0.012168355344772086,-0.07037777857925123,0.02876794064005675,0.741,False,0.518
WB SP thickness diff | S3-S4,GA,0.05208811243677441,0.06481054187843688,0.005868855094887177,0.17589982000987509,0.988,True,0.02400000000000002
WB SP thickness diff | S3-S4,qa_mean,-0.15880977003574917,-0.05114471666288004,-0.9260800826024159,1.0997279528822195,0.581,False,0.838
WB SP thickness diff | S3-S4,stack_count,-0.019308563728983156,-0.02272033355551328,-0.08484257840105998,0.02349981193227692,0.83,False,0.34
