model,term,beta_full,boot_mean,ci_low,ci_high,dir_consistency,ci_excludes_0,p_boot
SP volume diff | S1-S2,GA,97.61139477219643,88.2211105458201,-37.92650186646963,203.90407131417493,0.929,False,0.1419999999999999
SP volume diff | S1-S2,qa_mean,-937.4143329192991,-942.0308559786129,-2372.4196618398178,731.6631428388691,0.899,False,0.202
SP volume diff | S1-S2,stack_count,12.03730742912498,15.168045725743236,-79.88205366654321,100.77535529793825,0.648,False,0.704
SP volume diff | S1-S2,qa_diff,-577.0448961196003,-366.90569289820604,-3588.465521122689,3472.9499309053344,0.605,False,0.79
SP volume diff | S3-S4,GA,114.97820634622721,118.90174983207382,14.502301245271386,226.49675727671737,0.986,True,0.028000000000000025
SP volume diff | S3-S4,qa_mean,766.6764015145849,840.7882667151384,-727.9912941395103,2538.164150000768,0.891,False,0.21799999999999997
SP volume diff | S3-S4,stack_count,56.789598453526224,56.36370469661648,-12.44485065000419,123.42658970692598,0.946,False,0.1080000000000001
SP volume diff | S3-S4,qa_diff,2936.143391414389,2149.361882083845,-4913.121065183501,7104.3697859520935,0.75,False,0.5
WM surface-area diff | S1-S2,GA,34.83104324293434,38.88002310804966,-37.73136399693817,161.2450636993987,0.788,False,0.42399999999999993
WM surface-area diff | S1-S2,qa_mean,-265.4614647251742,-272.0370403420522,-1823.2025781702753,1059.8684377910474,0.673,False,0.654
WM surface-area diff | S1-S2,stack_count,-47.48254134059712,-51.04627055091126,-121.26827324842895,16.012994203080954,0.923,False,0.154
WM surface-area diff | S1-S2,qa_diff,-1349.4083000886842,-1329.9561049149931,-3973.4727832179246,759.2384505916011,0.901,False,0.198
WM surface-area diff | S3-S4,GA,13.597654490705237,15.646537371472641,-7.871337021424756,40.70744325831488,0.908,False,0.18399999999999994
WM surface-area diff | S3-S4,qa_mean,-499.0085665751176,-474.1174241065753,-1033.8039278663286,-15.134109452760072,0.979,True,0.042
WM surface-area diff | S3-S4,stack_count,-28.903788412103285,-28.435804289725805,-53.72850090961567,0.7419870390030235,0.969,False,0.062
WM surface-area diff | S3-S4,qa_diff,-1131.1447040669475,-1220.6772676180783,-2708.221422526133,-45.74346457435751,0.983,True,0.034
WB SP thickness diff | S1-S2,GA,0.04019856603272954,0.03992758231096574,-0.0024391305867395093,0.10925040769771918,0.943,False,0.1140000000000001
WB SP thickness diff | S1-S2,qa_mean,-0.25955958965171994,-0.12914036387855918,-1.260714346842503,1.1350125990309545,0.583,False,0.834
WB SP thickness diff | S1-S2,stack_count,-0.01769635576655249,-0.016129934052947773,-0.0806854432299319,0.037084908396816406,0.725,False,0.55
WB SP thickness diff | S1-S2,qa_diff,-0.5468913578883783,-0.46384009036800955,-1.9697448825595154,0.9416603866339142,0.696,False,0.608
WB SP thickness diff | S3-S4,GA,0.04434029232400362,0.055219564300339086,-0.012682905311774916,0.16338575926741342,0.944,False,0.1120000000000001
WB SP thickness diff | S3-S4,qa_mean,-0.25623821523374113,-0.1376259162171252,-1.48531269932865,0.9837563036455679,0.622,False,0.756
WB SP thickness diff | S3-S4,stack_count,-0.022716238547651167,-0.026890321495470795,-0.09701556892600943,0.020249494717852496,0.851,False,0.298
WB SP thickness diff | S3-S4,qa_diff,-1.5867852417189519,-1.6786990181653423,-7.115763103692505,3.6367311677241148,0.792,False,0.416
