outcome,pair,covariate,N,resid_df,beta_full,ci_low,ci_high,dir_consistency,ci_excludes_0,p_boot
SP volume diff,S1-S2,cnr_mean,20,14,25765.533427141774,-27163.344004434224,181999.24424328742,0.842,False,0.31600000000000006
SP volume diff,S1-S2,cnr_diff,20,14,98896.20951048442,-213994.57416268895,303404.3235971792,0.789,False,0.42199999999999993
SP volume diff,S1-S2,sh_sp_diff,20,14,765.5090843022235,73.21961188840282,1615.5362909053028,0.986,True,0.028000000000000025
SP volume diff,S1-S2,thk_mean,13,7,-392.0985309471247,-1101.14490670559,1075.3953657883608,0.8597194388777555,False,0.280561122244489
SP volume diff,S3-S4,cnr_mean,20,14,-14279.193953075319,-162158.58263155064,47743.903345959756,0.743,False,0.514
SP volume diff,S3-S4,cnr_diff,20,14,-33168.50678823969,-153706.80913463843,182609.6182484413,0.626,False,0.748
SP volume diff,S3-S4,sh_sp_diff,20,14,96.60211899328608,-1138.5861098601072,1447.9056381343069,0.509,False,0.982
SP volume diff,S3-S4,thk_mean,13,7,-119.37663783019475,-3269.254199392864,1591.3729462524727,0.6723446893787575,False,0.655310621242485
WM surface-area diff,S1-S2,cnr_mean,20,14,14199.402230799504,-87638.58903753148,73270.82797022357,0.781,False,0.43799999999999994
WM surface-area diff,S1-S2,cnr_diff,20,14,75576.99379664307,-149076.36728319514,339253.6067986079,0.822,False,0.3560000000000001
WM surface-area diff,S1-S2,sh_sp_diff,20,14,-144.65010118384464,-733.7182214629106,410.65050533484845,0.718,False,0.564
WM surface-area diff,S1-S2,thk_mean,13,7,-115.13413560261377,-425.6765987691159,306.52594632996494,0.8186372745490982,False,0.3627254509018036
WM surface-area diff,S3-S4,cnr_mean,20,14,12804.552476378469,-935.5728648294099,48025.3528142463,0.959,False,0.08200000000000007
WM surface-area diff,S3-S4,cnr_diff,20,14,-23295.694046376037,-63240.40714095721,28935.925830820102,0.727,False,0.546
WM surface-area diff,S3-S4,sh_sp_diff,20,14,43.39472662086912,-208.32224897366967,341.2499632548619,0.601,False,0.798
WM surface-area diff,S3-S4,thk_mean,13,7,51.427959568817585,-263.581587756098,332.215721789957,0.5791583166332666,False,0.8416833667334669
WB SP thickness diff,S1-S2,cnr_mean,13,7,-4.632770953965294,-80.49919312989884,39.55944731498789,0.7054108216432866,False,0.5891783567134269
WB SP thickness diff,S1-S2,cnr_diff,13,7,-12.287138512111662,-336.55923088582705,219.40662050315302,0.5831663326653307,False,0.8336673346693386
WB SP thickness diff,S1-S2,sh_sp_diff,13,7,0.05277546145255001,-0.24856417819384466,0.8652431916318326,0.7625250501002004,False,0.4749498997995991
WB SP thickness diff,S3-S4,cnr_mean,13,7,7.902880077395059,-134.02804210389354,189.37808148631493,0.6462925851703407,False,0.7074148296593186
WB SP thickness diff,S3-S4,cnr_diff,13,7,-15.971226504602397,-166.12427299230612,285.7374573427093,0.5871743486973948,False,0.8256513026052105
WB SP thickness diff,S3-S4,sh_sp_diff,13,7,-0.44773752793703586,-1.2343383032429944,0.24017278597650532,0.9208416833667334,False,0.15831663326653306
