model,pair,N,R2,adj_R2,F_p,GA_coef,GA_p
M_GA (vol),S1-S2,20,0.16,0.113,0.0809,86.925,0.0809
M_GA (vol),S3-S4,20,0.239,0.197,0.0286,113.639,0.0286
M_acq (vol),S1-S2,20,0.28,0.145,0.1436,94.333,0.0604
M_acq (vol),S3-S4,20,0.284,0.149,0.1389,115.031,0.0355
S_GA (surf),S1-S2,20,0.037,-0.016,0.4154,33.499,0.4154
S_GA (surf),S3-S4,20,0.052,-0.0,0.3317,13.521,0.3317
S_acq (surf),S1-S2,20,0.116,-0.05,0.5671,27.164,0.5204
S_acq (surf),S3-S4,20,0.299,0.168,0.1186,13.577,0.2969
T_GA (thk),S1-S2,13,0.313,0.25,0.047,0.032,0.047
T_GA (thk),S3-S4,13,0.276,0.21,0.0652,0.051,0.0652
T_acq (thk),S1-S2,13,0.326,0.102,0.291,0.033,0.0672
T_acq (thk),S3-S4,13,0.322,0.096,0.2984,0.052,0.0841
