model,pair,N,R2,adj_R2,F_p,GA_coef,GA_p
M_GA_thk (vol),S1-S2,13,0.349,0.29,0.0335,86.688,0.0335
M_GA_thk (vol),S3-S4,13,0.416,0.363,0.0172,133.934,0.0172
M_acq_thk (vol),S1-S2,13,0.632,0.509,0.0241,85.737,0.0196
M_acq_thk (vol),S3-S4,13,0.451,0.268,0.1288,131.779,0.0303
S_GA_thk (surf),S1-S2,13,0.002,-0.089,0.8884,1.584,0.8884
S_GA_thk (surf),S3-S4,13,0.246,0.178,0.0846,15.351,0.0846
S_acq_thk (surf),S1-S2,13,0.381,0.175,0.2085,4.266,0.6733
S_acq_thk (surf),S3-S4,13,0.543,0.39,0.0604,16.279,0.0447
T_GA_thk (thk),S1-S2,13,0.313,0.25,0.047,0.032,0.047
T_GA_thk (thk),S3-S4,13,0.276,0.21,0.0652,0.051,0.0652
T_acq_thk (thk),S1-S2,13,0.326,0.102,0.291,0.033,0.0672
T_acq_thk (thk),S3-S4,13,0.322,0.096,0.2984,0.052,0.0841
T_GA_rel_thk (thk),S1-S2,13,0.223,0.152,0.1034,0.795,0.1034
T_GA_rel_thk (thk),S3-S4,13,0.246,0.177,0.085,1.435,0.085
T_acq_rel_thk (thk),S1-S2,13,0.241,-0.012,0.4554,0.835,0.1285
T_acq_rel_thk (thk),S3-S4,13,0.295,0.06,0.346,1.462,0.1053
